,date,continent,location,male_smokers
248,2020Q2,Africa,Chad,0.0
249,2020Q2,Africa,Comoros,2147.6
250,2020Q2,Africa,Congo,4759.3
251,2020Q2,Africa,Cote d'Ivoire,0.0
252,2020Q2,Africa,Democratic Republic of Congo,0.0
253,2020Q2,Africa,Djibouti,2229.5
254,2020Q2,Africa,Egypt,4559.1
255,2020Q2,Africa,Equatorial Guinea,0.0
256,2020Q2,Africa,Eritrea,1037.4
257,2020Q2,Africa,Eswatini,1501.5
258,2020Q2,Africa,Ethiopia,773.5
259,2020Q2,Africa,Gabon,0.0
260,2020Q2,Africa,Gambia,2839.2
261,2020Q2,Africa,Ghana,700.7
262,2020Q2,Africa,Guinea,0.0
263,2020Q2,Africa,Guinea-Bissau,0.0
264,2020Q2,Africa,Kenya,1856.3999999999999
265,2020Q2,Africa,Lesotho,4904.9
266,2020Q2,Africa,Liberia,1647.1000000000001
267,2020Q2,Africa,Libya,0.0
268,2020Q2,Africa,Madagascar,0.0
269,2020Q2,Africa,Malawi,2247.7
270,2020Q2,Africa,Mali,2093.0
271,2020Q2,Africa,Mauritania,0.0
272,2020Q2,Africa,Mauritius,3703.7000000000003
273,2020Q2,Africa,Mayotte,0.0
274,2020Q2,Africa,Morocco,4286.1
275,2020Q2,Africa,Mozambique,2648.1
276,2020Q2,Africa,Namibia,3112.2000000000003
277,2020Q2,Africa,Niger,1401.4
278,2020Q2,Africa,Nigeria,982.8000000000001
279,2020Q2,Africa,Reunion,0.0
280,2020Q2,Africa,Rwanda,1911.0
281,2020Q2,Africa,Saint Helena,0.0
282,2020Q2,Africa,Sao Tome and Principe,0.0
283,2020Q2,Africa,Senegal,1510.6000000000001
284,2020Q2,Africa,Seychelles,3248.7000000000003
285,2020Q2,Africa,Sierra Leone,3758.2999999999997
286,2020Q2,Africa,Somalia,0.0
287,2020Q2,Africa,South Africa,3021.2000000000003
288,2020Q2,Africa,South Sudan,0.0
289,2020Q2,Africa,Sudan,0.0
290,2020Q2,Africa,Tanzania,2429.7
291,2020Q2,Africa,Togo,1292.2
292,2020Q2,Africa,Tunisia,5987.8
293,2020Q2,Africa,Uganda,1519.7
