,date,continent,location,life_expectancy
362,2020Q2,Europe,Gibraltar,7273.630000000001
363,2020Q2,Europe,Greece,7483.839999999999
364,2020Q2,Europe,Guernsey,0.0
365,2020Q2,Europe,Hungary,6996.08
366,2020Q2,Europe,Iceland,7552.089999999999
367,2020Q2,Europe,Ireland,7489.3
368,2020Q2,Europe,Isle of Man,7407.400000000001
369,2020Q2,Europe,Italy,7599.410000000001
370,2020Q2,Europe,Jersey,0.0
371,2020Q2,Europe,Kosovo,0.0
372,2020Q2,Europe,Latvia,6851.39
373,2020Q2,Europe,Liechtenstein,7506.589999999999
374,2020Q2,Europe,Lithuania,6909.630000000001
375,2020Q2,Europe,Luxembourg,7484.75
376,2020Q2,Europe,Malta,7510.2300000000005
377,2020Q2,Europe,Moldova,6542.900000000001
378,2020Q2,Europe,Monaco,7894.25
379,2020Q2,Europe,Montenegro,6996.08
380,2020Q2,Europe,Netherlands,7487.4800000000005
381,2020Q2,Europe,North Macedonia,6897.8
382,2020Q2,Europe,Northern Ireland,0.0
383,2020Q2,Europe,Norway,7498.400000000001
384,2020Q2,Europe,Poland,7164.43
385,2020Q2,Europe,Portugal,7466.55
386,2020Q2,Europe,Romania,6920.55
387,2020Q2,Europe,Russia,6604.78
388,2020Q2,Europe,San Marino,7732.2699999999995
389,2020Q2,Europe,Scotland,0.0
390,2020Q2,Europe,Serbia,6916.0
391,2020Q2,Europe,Slovakia,7056.14
392,2020Q2,Europe,Slovenia,7400.119999999999
393,2020Q2,Europe,Spain,7603.96
394,2020Q2,Europe,Sweden,7534.8
395,2020Q2,Europe,Switzerland,7623.9800000000005
396,2020Q2,Europe,Ukraine,6557.46
397,2020Q2,Europe,United Kingdom,7400.119999999999
398,2020Q2,Europe,Vatican,6835.92
399,2020Q2,Europe,Wales,0.0
400,2020Q2,North America,Anguilla,7451.08
401,2020Q2,North America,Antigua and Barbuda,7008.82
402,2020Q2,North America,Aruba,6942.39
403,2020Q2,North America,Bahamas,6726.72
404,2020Q2,North America,Barbados,7206.29
405,2020Q2,North America,Belize,6790.42
406,2020Q2,North America,Bermuda,7515.6900000000005
407,2020Q2,North America,Bonaire Sint Eustatius and Saba,7078.89
408,2020Q2,North America,British Virgin Islands,7195.369999999999
409,2020Q2,North America,Canada,7501.130000000001
410,2020Q2,North America,Cayman Islands,7636.72
411,2020Q2,North America,Costa Rica,7305.4800000000005
412,2020Q2,North America,Cuba,7170.8
413,2020Q2,North America,Curacao,7178.08
414,2020Q2,North America,Dominica,6825.0
415,2020Q2,North America,Dominican Republic,6741.28
416,2020Q2,North America,El Salvador,6672.119999999999
417,2020Q2,North America,Greenland,6524.7
418,2020Q2,North America,Grenada,6588.400000000001
419,2020Q2,North America,Guadeloupe,7474.74
420,2020Q2,North America,Guatemala,6761.3
421,2020Q2,North America,Haiti,5824.0
422,2020Q2,North America,Honduras,6849.57
423,2020Q2,North America,Jamaica,6776.7699999999995
424,2020Q2,North America,Martinique,7511.14
425,2020Q2,North America,Mexico,6829.55
426,2020Q2,North America,Montserrat,6748.5599999999995
427,2020Q2,North America,Nicaragua,6777.68
428,2020Q2,North America,Panama,7144.410000000001
429,2020Q2,North America,Puerto Rico,7289.099999999999
430,2020Q2,North America,Saint Barthelemy,0.0
431,2020Q2,North America,Saint Kitts and Nevis,6936.93
432,2020Q2,North America,Saint Lucia,6934.2
