,date,continent,location,female_smokers
328,2020Q2,Asia,Philippines,709.8
329,2020Q2,Asia,Qatar,72.8
330,2020Q2,Asia,Saudi Arabia,163.8
331,2020Q2,Asia,Singapore,473.2
332,2020Q2,Asia,South Korea,564.2
333,2020Q2,Asia,Sri Lanka,27.3
334,2020Q2,Asia,Syria,0.0
335,2020Q2,Asia,Taiwan,0.0
336,2020Q2,Asia,Tajikistan,0.0
337,2020Q2,Asia,Thailand,172.9
338,2020Q2,Asia,Timor,573.3
339,2020Q2,Asia,Turkey,1283.1
340,2020Q2,Asia,Turkmenistan,0.0
341,2020Q2,Asia,United Arab Emirates,109.2
342,2020Q2,Asia,Uzbekistan,118.3
343,2020Q2,Asia,Vietnam,91.0
344,2020Q2,Asia,Yemen,691.6
345,2020Q2,Europe,Albania,646.1
346,2020Q2,Europe,Andorra,2639.0
347,2020Q2,Europe,Austria,2584.4
348,2020Q2,Europe,Belarus,955.5
349,2020Q2,Europe,Belgium,2284.1
350,2020Q2,Europe,Bosnia and Herzegovina,2748.2
351,2020Q2,Europe,Bulgaria,2739.1
352,2020Q2,Europe,Croatia,3121.2999999999997
353,2020Q2,Europe,Cyprus,1783.6000000000001
354,2020Q2,Europe,Czechia,2775.5
355,2020Q2,Europe,Denmark,1756.3
356,2020Q2,Europe,England,0.0
357,2020Q2,Europe,Estonia,2229.5
358,2020Q2,Europe,Faeroe Islands,0.0
359,2020Q2,Europe,Finland,1665.3
360,2020Q2,Europe,France,2739.1
361,2020Q2,Europe,Germany,2566.2
362,2020Q2,Europe,Gibraltar,0.0
363,2020Q2,Europe,Greece,3212.2999999999997
364,2020Q2,Europe,Guernsey,0.0
365,2020Q2,Europe,Hungary,2438.8
366,2020Q2,Europe,Iceland,1301.3
367,2020Q2,Europe,Ireland,2093.0
368,2020Q2,Europe,Isle of Man,0.0
369,2020Q2,Europe,Italy,1801.8
370,2020Q2,Europe,Jersey,0.0
371,2020Q2,Europe,Kosovo,0.0
372,2020Q2,Europe,Latvia,2329.6
373,2020Q2,Europe,Liechtenstein,0.0
374,2020Q2,Europe,Lithuania,1938.3
375,2020Q2,Europe,Luxembourg,1901.8999999999999
376,2020Q2,Europe,Malta,1901.8999999999999
377,2020Q2,Europe,Moldova,536.9
378,2020Q2,Europe,Monaco,0.0
379,2020Q2,Europe,Montenegro,4004.0
380,2020Q2,Europe,Netherlands,2220.4
381,2020Q2,Europe,North Macedonia,0.0
382,2020Q2,Europe,Northern Ireland,0.0
383,2020Q2,Europe,Norway,1783.6000000000001
384,2020Q2,Europe,Poland,2120.3
385,2020Q2,Europe,Portugal,1483.3
386,2020Q2,Europe,Romania,2083.9
387,2020Q2,Europe,Russia,2129.4
388,2020Q2,Europe,San Marino,0.0
389,2020Q2,Europe,Scotland,0.0
390,2020Q2,Europe,Serbia,3430.7000000000003
391,2020Q2,Europe,Slovakia,2102.1
392,2020Q2,Europe,Slovenia,1829.1000000000001
393,2020Q2,Europe,Spain,2493.4
394,2020Q2,Europe,Sweden,1710.8
395,2020Q2,Europe,Switzerland,2056.6
396,2020Q2,Europe,Ukraine,1228.5
397,2020Q2,Europe,United Kingdom,1820.0
398,2020Q2,Europe,Vatican,0.0
399,2020Q2,Europe,Wales,0.0
400,2020Q2,North America,Anguilla,0.0
401,2020Q2,North America,Antigua and Barbuda,0.0
402,2020Q2,North America,Aruba,0.0
403,2020Q2,North America,Bahamas,282.1
404,2020Q2,North America,Barbados,172.9
405,2020Q2,North America,Belize,0.0
406,2020Q2,North America,Bermuda,0.0
407,2020Q2,North America,Bonaire Sint Eustatius and Saba,0.0
408,2020Q2,North America,British Virgin Islands,0.0
409,2020Q2,North America,Canada,1092.0
410,2020Q2,North America,Cayman Islands,0.0
411,2020Q2,North America,Costa Rica,582.4
412,2020Q2,North America,Cuba,1556.1000000000001
413,2020Q2,North America,Curacao,0.0
414,2020Q2,North America,Dominica,0.0
415,2020Q2,North America,Dominican Republic,773.5
416,2020Q2,North America,El Salvador,227.5
417,2020Q2,North America,Greenland,0.0
418,2020Q2,North America,Grenada,0.0
419,2020Q2,North America,Guadeloupe,0.0
420,2020Q2,North America,Guatemala,0.0
421,2020Q2,North America,Haiti,263.9
422,2020Q2,North America,Honduras,182.0
423,2020Q2,North America,Jamaica,482.3
424,2020Q2,North America,Martinique,0.0
425,2020Q2,North America,Mexico,627.9
426,2020Q2,North America,Montserrat,0.0
427,2020Q2,North America,Nicaragua,0.0
428,2020Q2,North America,Panama,218.4
429,2020Q2,North America,Puerto Rico,0.0
430,2020Q2,North America,Saint Barthelemy,0.0
431,2020Q2,North America,Saint Kitts and Nevis,0.0
432,2020Q2,North America,Saint Lucia,0.0
433,2020Q2,North America,Saint Martin (French part),0.0
434,2020Q2,North America,Saint Pierre and Miquelon,0.0
435,2020Q2,North America,Saint Vincent and the Grenadines,0.0
436,2020Q2,North America,Sint Maarten (Dutch part),0.0
437,2020Q2,North America,Trinidad and Tobago,0.0
438,2020Q2,North America,Turks and Caicos Islands,0.0
439,2020Q2,North America,United States,1738.1000000000001
440,2020Q2,North America,United States Virgin Islands,0.0
441,2020Q2,Oceania,American Samoa,0.0
442,2020Q2,Oceania,Australia,1183.0
443,2020Q2,Oceania,Cook Islands,0.0
444,2020Q2,Oceania,Fiji,928.1999999999999
445,2020Q2,Oceania,French Polynesia,0.0
446,2020Q2,Oceania,Guam,0.0
447,2020Q2,Oceania,Kiribati,3266.9
448,2020Q2,Oceania,Marshall Islands,0.0
449,2020Q2,Oceania,Micronesia (country),0.0
450,2020Q2,Oceania,Nauru,3913.0
451,2020Q2,Oceania,New Caledonia,0.0
452,2020Q2,Oceania,New Zealand,1346.8
453,2020Q2,Oceania,Niue,0.0
454,2020Q2,Oceania,Northern Mariana Islands,0.0
455,2020Q2,Oceania,Palau,700.7
456,2020Q2,Oceania,Papua New Guinea,2138.5
457,2020Q2,Oceania,Pitcairn,0.0
458,2020Q2,Oceania,Samoa,1519.7
459,2020Q2,Oceania,Solomon Islands,0.0
460,2020Q2,Oceania,Tokelau,0.0
461,2020Q2,Oceania,Tonga,1073.8
462,2020Q2,Oceania,Tuvalu,0.0
463,2020Q2,Oceania,Vanuatu,254.79999999999998
464,2020Q2,Oceania,Wallis and Futuna,0.0
465,2020Q2,South America,Argentina,1474.2
466,2020Q2,South America,Bolivia,0.0
467,2020Q2,South America,Brazil,919.1
468,2020Q2,South America,Chile,3112.2000000000003
469,2020Q2,South America,Colombia,427.7
470,2020Q2,South America,Ecuador,182.0
471,2020Q2,South America,Falkland Islands,0.0
472,2020Q2,South America,French Guiana,0.0
473,2020Q2,South America,Guyana,0.0
474,2020Q2,South America,Paraguay,455.0
475,2020Q2,South America,Peru,436.8
476,2020Q2,South America,Suriname,673.4
477,2020Q2,South America,Uruguay,1274.0
478,2020Q2,South America,Venezuela,0.0
479,2020Q3,Africa,Algeria,64.39999999999999
480,2020Q3,Africa,Angola,0.0
481,2020Q3,Africa,Benin,55.199999999999996
482,2020Q3,Africa,Botswana,524.4
483,2020Q3,Africa,Burkina Faso,147.20000000000002
484,2020Q3,Africa,Burundi,0.0
485,2020Q3,Africa,Cameroon,0.0
486,2020Q3,Africa,Cape Verde,193.20000000000002
487,2020Q3,Africa,Central African Republic,0.0
488,2020Q3,Africa,Chad,0.0
489,2020Q3,Africa,Comoros,404.8
490,2020Q3,Africa,Congo,156.4
491,2020Q3,Africa,Cote d'Ivoire,0.0
492,2020Q3,Africa,Democratic Republic of Congo,0.0
493,2020Q3,Africa,Djibouti,156.4
494,2020Q3,Africa,Egypt,18.400000000000002
495,2020Q3,Africa,Equatorial Guinea,0.0
496,2020Q3,Africa,Eritrea,18.400000000000002
497,2020Q3,Africa,Eswatini,156.4
498,2020Q3,Africa,Ethiopia,36.800000000000004
499,2020Q3,Africa,Gabon,0.0
500,2020Q3,Africa,Gambia,64.39999999999999
501,2020Q3,Africa,Ghana,27.599999999999998
502,2020Q3,Africa,Guinea,0.0
503,2020Q3,Africa,Guinea-Bissau,0.0
504,2020Q3,Africa,Kenya,110.39999999999999
505,2020Q3,Africa,Lesotho,36.800000000000004
506,2020Q3,Africa,Liberia,138.0
507,2020Q3,Africa,Libya,0.0
508,2020Q3,Africa,Madagascar,0.0
509,2020Q3,Africa,Malawi,404.8
510,2020Q3,Africa,Mali,147.20000000000002
511,2020Q3,Africa,Mauritania,0.0
512,2020Q3,Africa,Mauritius,294.40000000000003
513,2020Q3,Africa,Mayotte,0.0
514,2020Q3,Africa,Morocco,73.60000000000001
515,2020Q3,Africa,Mozambique,469.2
516,2020Q3,Africa,Namibia,892.4
517,2020Q3,Africa,Niger,9.200000000000001
518,2020Q3,Africa,Nigeria,55.199999999999996
519,2020Q3,Africa,Reunion,0.0
520,2020Q3,Africa,Rwanda,432.40000000000003
521,2020Q3,Africa,Saint Helena,0.0
522,2020Q3,Africa,Sao Tome and Principe,0.0
523,2020Q3,Africa,Senegal,36.800000000000004
524,2020Q3,Africa,Seychelles,653.1999999999999
525,2020Q3,Africa,Sierra Leone,809.6
526,2020Q3,Africa,Somalia,0.0
527,2020Q3,Africa,South Africa,745.1999999999999
528,2020Q3,Africa,South Sudan,0.0
529,2020Q3,Africa,Sudan,0.0
530,2020Q3,Africa,Tanzania,303.59999999999997
531,2020Q3,Africa,Togo,82.8
532,2020Q3,Africa,Tunisia,101.2
533,2020Q3,Africa,Uganda,312.8
534,2020Q3,Africa,Zambia,285.2
535,2020Q3,Africa,Zimbabwe,147.20000000000002
536,2020Q3,Asia,Afghanistan,0.0
537,2020Q3,Asia,Armenia,138.0
538,2020Q3,Asia,Azerbaijan,27.599999999999998
539,2020Q3,Asia,Bahrain,533.6
540,2020Q3,Asia,Bangladesh,92.0
541,2020Q3,Asia,Bhutan,0.0
542,2020Q3,Asia,Brunei,184.0
543,2020Q3,Asia,Cambodia,184.0
544,2020Q3,Asia,China,174.79999999999998
545,2020Q3,Asia,Georgia,487.59999999999997
546,2020Q3,Asia,Hong Kong,0.0
547,2020Q3,Asia,India,174.79999999999998
548,2020Q3,Asia,Indonesia,257.59999999999997
549,2020Q3,Asia,Iran,73.60000000000001
550,2020Q3,Asia,Iraq,0.0
551,2020Q3,Asia,Israel,1416.8
552,2020Q3,Asia,Japan,1030.3999999999999
553,2020Q3,Asia,Jordan,0.0
554,2020Q3,Asia,Kazakhstan,644.0
555,2020Q3,Asia,Kuwait,248.4
556,2020Q3,Asia,Kyrgyzstan,331.2
557,2020Q3,Asia,Laos,671.6
558,2020Q3,Asia,Lebanon,2474.7999999999997
559,2020Q3,Asia,Malaysia,92.0
560,2020Q3,Asia,Maldives,193.20000000000002
561,2020Q3,Asia,Mongolia,506.0
562,2020Q3,Asia,Myanmar,579.6
563,2020Q3,Asia,Nepal,874.0
564,2020Q3,Asia,North Korea,0.0
565,2020Q3,Asia,Oman,46.0
566,2020Q3,Asia,Pakistan,257.59999999999997
567,2020Q3,Asia,Palestine,0.0
568,2020Q3,Asia,Philippines,717.6
569,2020Q3,Asia,Qatar,73.60000000000001
570,2020Q3,Asia,Saudi Arabia,165.6
571,2020Q3,Asia,Singapore,478.40000000000003
572,2020Q3,Asia,South Korea,570.4
573,2020Q3,Asia,Sri Lanka,27.599999999999998
574,2020Q3,Asia,Syria,0.0
