,date,continent,location,human_development_index
359,2020Q2,Europe,Finland,85.35799999999999
360,2020Q2,Europe,France,81.991
361,2020Q2,Europe,Germany,86.17699999999999
362,2020Q2,Europe,Gibraltar,0.0
363,2020Q2,Europe,Greece,80.808
364,2020Q2,Europe,Guernsey,0.0
365,2020Q2,Europe,Hungary,77.714
366,2020Q2,Europe,Iceland,86.359
367,2020Q2,Europe,Ireland,86.905
368,2020Q2,Europe,Isle of Man,0.0
369,2020Q2,Europe,Italy,81.172
370,2020Q2,Europe,Jersey,0.0
371,2020Q2,Europe,Kosovo,0.0
372,2020Q2,Europe,Latvia,78.806
373,2020Q2,Europe,Liechtenstein,83.629
374,2020Q2,Europe,Lithuania,80.262
375,2020Q2,Europe,Luxembourg,83.35600000000001
376,2020Q2,Europe,Malta,81.44500000000001
377,2020Q2,Europe,Moldova,68.25
378,2020Q2,Europe,Monaco,0.0
379,2020Q2,Europe,Montenegro,75.439
380,2020Q2,Europe,Netherlands,85.904
381,2020Q2,Europe,North Macedonia,70.434
382,2020Q2,Europe,Northern Ireland,0.0
383,2020Q2,Europe,Norway,87.087
384,2020Q2,Europe,Poland,80.08
385,2020Q2,Europe,Portugal,78.624
386,2020Q2,Europe,Romania,75.348
387,2020Q2,Europe,Russia,74.984
388,2020Q2,Europe,San Marino,0.0
389,2020Q2,Europe,Scotland,0.0
390,2020Q2,Europe,Serbia,73.346
391,2020Q2,Europe,Slovakia,78.26
392,2020Q2,Europe,Slovenia,83.447
393,2020Q2,Europe,Spain,82.264
394,2020Q2,Europe,Sweden,85.99499999999999
395,2020Q2,Europe,Switzerland,86.905
396,2020Q2,Europe,Ukraine,70.889
397,2020Q2,Europe,United Kingdom,84.812
398,2020Q2,Europe,Vatican,0.0
399,2020Q2,Europe,Wales,0.0
400,2020Q2,North America,Anguilla,0.0
401,2020Q2,North America,Antigua and Barbuda,70.798
402,2020Q2,North America,Aruba,0.0
403,2020Q2,North America,Bahamas,74.074
404,2020Q2,North America,Barbados,74.074
405,2020Q2,North America,Belize,65.15599999999999
406,2020Q2,North America,Bermuda,0.0
407,2020Q2,North America,Bonaire Sint Eustatius and Saba,0.0
408,2020Q2,North America,British Virgin Islands,0.0
409,2020Q2,North America,Canada,84.539
410,2020Q2,North America,Cayman Islands,0.0
411,2020Q2,North America,Costa Rica,73.71000000000001
412,2020Q2,North America,Cuba,71.253
413,2020Q2,North America,Curacao,0.0
414,2020Q2,North America,Dominica,67.522
415,2020Q2,North America,Dominican Republic,68.796
416,2020Q2,North America,El Salvador,61.243
417,2020Q2,North America,Greenland,0.0
418,2020Q2,North America,Grenada,70.889
