,date,continent,location,cardiovasc_death_rate
316,2020Q2,Asia,Kyrgyzstan,39708.942
317,2020Q2,Asia,Laos,33498.101
318,2020Q2,Asia,Lebanon,24259.781
319,2020Q2,Asia,Malaysia,23745.722
320,2020Q2,Asia,Maldives,15006.355
321,2020Q2,Asia,Mongolia,41863.913
322,2020Q2,Asia,Myanmar,18391.464
323,2020Q2,Asia,Nepal,23732.527000000002
324,2020Q2,Asia,North Korea,29272.970999999998
325,2020Q2,Asia,Oman,24237.122
326,2020Q2,Asia,Pakistan,38495.821
327,2020Q2,Asia,Palestine,24197.81
328,2020Q2,Asia,Philippines,33709.767
329,2020Q2,Asia,Qatar,16078.789999999999
330,2020Q2,Asia,Saudi Arabia,23617.958000000002
331,2020Q2,Asia,Singapore,8394.113
332,2020Q2,Asia,South Korea,7825.818
333,2020Q2,Asia,Sri Lanka,17935.463
334,2020Q2,Asia,Syria,34240.024
335,2020Q2,Asia,Taiwan,9460.087
336,2020Q2,Asia,Tajikistan,38920.518
337,2020Q2,Asia,Thailand,9997.351
338,2020Q2,Asia,Timor,30516.486
339,2020Q2,Asia,Turkey,15586.935
340,2020Q2,Asia,Turkmenistan,48847.253000000004
341,2020Q2,Asia,United Arab Emirates,28923.44
342,2020Q2,Asia,Uzbekistan,65921.947
343,2020Q2,Asia,Vietnam,22337.315
344,2020Q2,Asia,Yemen,45045.273
345,2020Q2,Europe,Albania,27681.745
346,2020Q2,Europe,Andorra,9931.285
347,2020Q2,Europe,Austria,13211.652999999998
348,2020Q2,Europe,Belarus,40324.739
349,2020Q2,Europe,Belgium,10455.717999999999
350,2020Q2,Europe,Bosnia and Herzegovina,29996.785
351,2020Q2,Europe,Bulgaria,38646.608
352,2020Q2,Europe,Croatia,23094.162
353,2020Q2,Europe,Cyprus,12846.561
354,2020Q2,Europe,Czechia,20701.135000000002
355,2020Q2,Europe,Denmark,10443.797
356,2020Q2,Europe,England,0.0
357,2020Q2,Europe,Estonia,23256.779
358,2020Q2,Europe,Faeroe Islands,0.0
359,2020Q2,Europe,Finland,13969.137
360,2020Q2,Europe,France,7831.46
361,2020Q2,Europe,Germany,14208.649000000001
362,2020Q2,Europe,Gibraltar,0.0
363,2020Q2,Europe,Greece,15988.244999999999
364,2020Q2,Europe,Guernsey,0.0
365,2020Q2,Europe,Hungary,25324.935999999998
