,date,continent,location,median_age
374,2020Q2,Europe,Lithuania,3958.5
375,2020Q2,Europe,Luxembourg,3612.7000000000003
376,2020Q2,Europe,Malta,3858.4
377,2020Q2,Europe,Moldova,3421.6
378,2020Q2,Europe,Monaco,0.0
379,2020Q2,Europe,Montenegro,3558.1
380,2020Q2,Europe,Netherlands,3931.2000000000003
381,2020Q2,Europe,North Macedonia,3558.1
382,2020Q2,Europe,Northern Ireland,0.0
383,2020Q2,Europe,Norway,3612.7000000000003
384,2020Q2,Europe,Poland,3803.7999999999997
385,2020Q2,Europe,Portugal,4204.2
386,2020Q2,Europe,Romania,3913.0
387,2020Q2,Europe,Russia,3603.6
388,2020Q2,Europe,San Marino,0.0
389,2020Q2,Europe,Scotland,0.0
390,2020Q2,Europe,Serbia,3749.2000000000003
391,2020Q2,Europe,Slovakia,3749.2000000000003
392,2020Q2,Europe,Slovenia,4049.5
393,2020Q2,Europe,Spain,4140.5
394,2020Q2,Europe,Sweden,3731.0
395,2020Q2,Europe,Switzerland,3922.1
396,2020Q2,Europe,Ukraine,3767.4
397,2020Q2,Europe,United Kingdom,3712.7999999999997
398,2020Q2,Europe,Vatican,0.0
399,2020Q2,Europe,Wales,0.0
400,2020Q2,North America,Anguilla,0.0
401,2020Q2,North America,Antigua and Barbuda,2921.1
402,2020Q2,North America,Aruba,3749.2000000000003
403,2020Q2,North America,Bahamas,3121.2999999999997
404,2020Q2,North America,Barbados,3621.7999999999997
405,2020Q2,North America,Belize,2275.0
406,2020Q2,North America,Bermuda,0.0
407,2020Q2,North America,Bonaire Sint Eustatius and Saba,0.0
408,2020Q2,North America,British Virgin Islands,0.0
409,2020Q2,North America,Canada,3767.4
410,2020Q2,North America,Cayman Islands,0.0
411,2020Q2,North America,Costa Rica,3057.6
412,2020Q2,North America,Cuba,3922.1
413,2020Q2,North America,Curacao,3794.7000000000003
414,2020Q2,North America,Dominica,0.0
415,2020Q2,North America,Dominican Republic,2511.6
416,2020Q2,North America,El Salvador,2511.6
417,2020Q2,North America,Greenland,0.0
418,2020Q2,North America,Grenada,2675.4
419,2020Q2,North America,Guadeloupe,3949.4
420,2020Q2,North America,Guatemala,2083.9
421,2020Q2,North America,Haiti,2211.3
422,2020Q2,North America,Honduras,2265.9
423,2020Q2,North America,Jamaica,2857.4
424,2020Q2,North America,Martinique,4158.7
425,2020Q2,North America,Mexico,2666.3
426,2020Q2,North America,Montserrat,0.0
427,2020Q2,North America,Nicaragua,2484.3
428,2020Q2,North America,Panama,2702.7
429,2020Q2,North America,Puerto Rico,3476.2000000000003
430,2020Q2,North America,Saint Barthelemy,0.0
431,2020Q2,North America,Saint Kitts and Nevis,0.0
432,2020Q2,North America,Saint Lucia,3175.9
433,2020Q2,North America,Saint Martin (French part),0.0
434,2020Q2,North America,Saint Pierre and Miquelon,0.0
435,2020Q2,North America,Saint Vincent and the Grenadines,2893.8
436,2020Q2,North America,Sint Maarten (Dutch part),0.0
437,2020Q2,North America,Trinidad and Tobago,3294.2000000000003
438,2020Q2,North America,Turks and Caicos Islands,0.0
439,2020Q2,North America,United States,3485.2999999999997
440,2020Q2,North America,United States Virgin Islands,3840.2000000000003
441,2020Q2,Oceania,American Samoa,0.0
442,2020Q2,Oceania,Australia,3448.9
443,2020Q2,Oceania,Cook Islands,0.0
444,2020Q2,Oceania,Fiji,2602.6
445,2020Q2,Oceania,French Polynesia,2975.7000000000003
446,2020Q2,Oceania,Guam,2857.4
447,2020Q2,Oceania,Kiribati,2111.2
448,2020Q2,Oceania,Marshall Islands,0.0
449,2020Q2,Oceania,Micronesia (country),2093.0
450,2020Q2,Oceania,Nauru,0.0
451,2020Q2,Oceania,New Caledonia,3039.4
452,2020Q2,Oceania,New Zealand,3448.9
453,2020Q2,Oceania,Niue,0.0
454,2020Q2,Oceania,Northern Mariana Islands,0.0
455,2020Q2,Oceania,Palau,0.0
456,2020Q2,Oceania,Papua New Guinea,2056.6
457,2020Q2,Oceania,Pitcairn,0.0
458,2020Q2,Oceania,Samoa,2002.0
459,2020Q2,Oceania,Solomon Islands,1892.8
460,2020Q2,Oceania,Tokelau,0.0
461,2020Q2,Oceania,Tonga,2029.3
462,2020Q2,Oceania,Tuvalu,0.0
463,2020Q2,Oceania,Vanuatu,2102.1
464,2020Q2,Oceania,Wallis and Futuna,0.0
465,2020Q2,South America,Argentina,2902.9
466,2020Q2,South America,Bolivia,2311.4
467,2020Q2,South America,Brazil,3048.5
468,2020Q2,South America,Chile,3221.4
469,2020Q2,South America,Colombia,2930.2000000000003
470,2020Q2,South America,Ecuador,2557.1
471,2020Q2,South America,Falkland Islands,0.0
472,2020Q2,South America,French Guiana,2302.3
473,2020Q2,South America,Guyana,2393.3
474,2020Q2,South America,Paraguay,2411.5
475,2020Q2,South America,Peru,2648.1
476,2020Q2,South America,Suriname,2693.6
477,2020Q2,South America,Uruguay,3239.6
478,2020Q2,South America,Venezuela,2639.0
479,2020Q3,Africa,Algeria,2677.2000000000003
480,2020Q3,Africa,Angola,1545.6000000000001
481,2020Q3,Africa,Benin,1729.6000000000001
482,2020Q3,Africa,Botswana,2373.6
483,2020Q3,Africa,Burkina Faso,1619.2
484,2020Q3,Africa,Burundi,1610.0
485,2020Q3,Africa,Cameroon,1729.6000000000001
486,2020Q3,Africa,Cape Verde,2364.4
487,2020Q3,Africa,Central African Republic,1683.6000000000001
488,2020Q3,Africa,Chad,1536.3999999999999
489,2020Q3,Africa,Comoros,1876.8
490,2020Q3,Africa,Congo,1748.0
491,2020Q3,Africa,Cote d'Ivoire,1720.3999999999999
492,2020Q3,Africa,Democratic Republic of Congo,1564.0
493,2020Q3,Africa,Djibouti,2336.7999999999997
494,2020Q3,Africa,Egypt,2327.6
495,2020Q3,Africa,Equatorial Guinea,2060.7999999999997
496,2020Q3,Africa,Eritrea,1775.6000000000001
497,2020Q3,Africa,Eswatini,1978.0
498,2020Q3,Africa,Ethiopia,1821.6000000000001
499,2020Q3,Africa,Gabon,2125.2000000000003
500,2020Q3,Africa,Gambia,1610.0
501,2020Q3,Africa,Ghana,1941.2
502,2020Q3,Africa,Guinea,1748.0
503,2020Q3,Africa,Guinea-Bissau,1784.8
504,2020Q3,Africa,Kenya,1840.0
505,2020Q3,Africa,Lesotho,2042.3999999999999
506,2020Q3,Africa,Liberia,1766.3999999999999
507,2020Q3,Africa,Libya,2668.0
508,2020Q3,Africa,Madagascar,1803.2
509,2020Q3,Africa,Malawi,1665.2
510,2020Q3,Africa,Mali,1508.8
511,2020Q3,Africa,Mauritania,1867.6000000000001
512,2020Q3,Africa,Mauritius,3440.7999999999997
513,2020Q3,Africa,Mayotte,1849.2
514,2020Q3,Africa,Morocco,2723.2000000000003
515,2020Q3,Africa,Mozambique,1628.3999999999999
516,2020Q3,Africa,Namibia,2024.0
517,2020Q3,Africa,Niger,1389.2
518,2020Q3,Africa,Nigeria,1665.2
519,2020Q3,Africa,Reunion,3312.0
520,2020Q3,Africa,Rwanda,1867.6000000000001
521,2020Q3,Africa,Saint Helena,0.0
522,2020Q3,Africa,Sao Tome and Principe,1720.3999999999999
523,2020Q3,Africa,Senegal,1720.3999999999999
524,2020Q3,Africa,Seychelles,3330.4
525,2020Q3,Africa,Sierra Leone,1757.2
526,2020Q3,Africa,Somalia,1545.6000000000001
527,2020Q3,Africa,South Africa,2511.6
528,2020Q3,Africa,South Sudan,1766.3999999999999
529,2020Q3,Africa,Sudan,1812.3999999999999
530,2020Q3,Africa,Tanzania,1628.3999999999999
531,2020Q3,Africa,Togo,1784.8
532,2020Q3,Africa,Tunisia,3008.4
533,2020Q3,Africa,Uganda,1508.8
534,2020Q3,Africa,Zambia,1628.3999999999999
535,2020Q3,Africa,Zimbabwe,1803.2
536,2020Q3,Asia,Afghanistan,1711.2
537,2020Q3,Asia,Armenia,3284.4
538,2020Q3,Asia,Azerbaijan,2980.7999999999997
539,2020Q3,Asia,Bahrain,2980.7999999999997
540,2020Q3,Asia,Bangladesh,2530.0
541,2020Q3,Asia,Bhutan,2631.2000000000003
542,2020Q3,Asia,Brunei,2980.7999999999997
543,2020Q3,Asia,Cambodia,2355.2000000000003
544,2020Q3,Asia,China,3560.4
545,2020Q3,Asia,Georgia,3560.4
546,2020Q3,Asia,Hong Kong,4121.599999999999
547,2020Q3,Asia,India,2594.4
548,2020Q3,Asia,Indonesia,2695.6
549,2020Q3,Asia,Iran,2980.7999999999997
550,2020Q3,Asia,Iraq,1840.0
551,2020Q3,Asia,Israel,2815.2000000000003
552,2020Q3,Asia,Japan,4434.400000000001
553,2020Q3,Asia,Jordan,2134.4
554,2020Q3,Asia,Kazakhstan,2815.2000000000003
555,2020Q3,Asia,Kuwait,3100.4
556,2020Q3,Asia,Kyrgyzstan,2419.6
557,2020Q3,Asia,Laos,2244.7999999999997
558,2020Q3,Asia,Lebanon,2861.2000000000003
559,2020Q3,Asia,Malaysia,2750.7999999999997
560,2020Q3,Asia,Maldives,2815.2000000000003
561,2020Q3,Asia,Mongolia,2631.2000000000003
562,2020Q3,Asia,Myanmar,2677.2000000000003
563,2020Q3,Asia,Nepal,2300.0
564,2020Q3,Asia,North Korea,3247.6
565,2020Q3,Asia,Oman,2824.4
566,2020Q3,Asia,Pakistan,2162.0
567,2020Q3,Asia,Palestine,1876.8
568,2020Q3,Asia,Philippines,2318.4
569,2020Q3,Asia,Qatar,2934.7999999999997
570,2020Q3,Asia,Saudi Arabia,2934.7999999999997
571,2020Q3,Asia,Singapore,3900.7999999999997
572,2020Q3,Asia,South Korea,3992.7999999999997
573,2020Q3,Asia,Sri Lanka,3137.2000000000003
574,2020Q3,Asia,Syria,1996.3999999999999
575,2020Q3,Asia,Taiwan,3882.4
576,2020Q3,Asia,Tajikistan,2143.6
577,2020Q3,Asia,Thailand,3689.2000000000003
578,2020Q3,Asia,Timor,1656.0
579,2020Q3,Asia,Turkey,2907.2000000000003
580,2020Q3,Asia,Turkmenistan,2474.7999999999997
581,2020Q3,Asia,United Arab Emirates,3128.0
582,2020Q3,Asia,Uzbekistan,2594.4
583,2020Q3,Asia,Vietnam,2999.2000000000003
584,2020Q3,Asia,Yemen,1867.6000000000001
585,2020Q3,Europe,Albania,3496.0
586,2020Q3,Europe,Andorra,0.0
587,2020Q3,Europe,Austria,4084.7999999999997
588,2020Q3,Europe,Belarus,3707.6
