,date,continent,location,population_density
268,2020Q2,Africa,Madagascar,3999.541
269,2020Q2,Africa,Malawi,17974.229
270,2020Q2,Africa,Mali,1382.836
271,2020Q2,Africa,Mauritania,390.299
272,2020Q2,Africa,Mauritius,56689.542
273,2020Q2,Africa,Mayotte,0.0
274,2020Q2,Africa,Morocco,7287.28
275,2020Q2,Africa,Mozambique,3433.248
276,2020Q2,Africa,Namibia,280.098
277,2020Q2,Africa,Niger,1542.9049999999997
278,2020Q2,Africa,Nigeria,19072.507999999998
279,2020Q2,Africa,Reunion,0.0
280,2020Q2,Africa,Rwanda,45033.079000000005
281,2020Q2,Africa,Saint Helena,0.0
282,2020Q2,Africa,Sao Tome and Principe,19368.531
283,2020Q2,Africa,Senegal,7491.848
284,2020Q2,Africa,Seychelles,18960.214
285,2020Q2,Africa,Sierra Leone,9527.7
286,2020Q2,Africa,Somalia,2138.5
287,2020Q2,Africa,South Africa,4254.614
288,2020Q2,Africa,South Sudan,0.0
289,2020Q2,Africa,Sudan,2116.478
290,2020Q2,Africa,Tanzania,5887.6089999999995
291,2020Q2,Africa,Togo,13046.306
292,2020Q2,Africa,Tunisia,6754.748
293,2020Q2,Africa,Uganda,19452.069
294,2020Q2,Africa,Zambia,2092.545
295,2020Q2,Africa,Zimbabwe,3888.339
296,2020Q2,Asia,Afghanistan,4952.402
297,2020Q2,Asia,Armenia,9366.721
298,2020Q2,Asia,Azerbaijan,10857.119
299,2020Q2,Asia,Bahrain,176167.53699999998
300,2020Q2,Asia,Bangladesh,115118.27600000001
301,2020Q2,Asia,Bhutan,1928.108
302,2020Q2,Asia,Brunei,7402.576999999999
303,2020Q2,Asia,Cambodia,8251.152
304,2020Q2,Asia,China,13438.334
305,2020Q2,Asia,Georgia,5917.911999999999
306,2020Q2,Asia,Hong Kong,640613.974
307,2020Q2,Asia,India,40988.129
308,2020Q2,Asia,Indonesia,13260.975
309,2020Q2,Asia,Iran,4534.621
310,2020Q2,Asia,Iraq,8019.375
311,2020Q2,Asia,Israel,36637.146
312,2020Q2,Asia,Japan,31647.798000000003
313,2020Q2,Asia,Jordan,9944.935
314,2020Q2,Asia,Kazakhstan,607.971
315,2020Q2,Asia,Kuwait,21123.647999999997
316,2020Q2,Asia,Kyrgyzstan,2942.303
317,2020Q2,Asia,Laos,2704.065
318,2020Q2,Asia,Lebanon,54105.05100000001
319,2020Q2,Asia,Malaysia,8759.114
320,2020Q2,Asia,Maldives,132353.403
321,2020Q2,Asia,Mongolia,180.18
