,date,continent,location,gdp_per_capita
273,2020Q2,Africa,Mayotte,0.0
274,2020Q2,Africa,Morocco,681136.183
275,2020Q2,Africa,Mozambique,103385.373
276,2020Q2,Africa,Namibia,868304.528
277,2020Q2,Africa,Niger,84266.0
278,2020Q2,Africa,Nigeria,485799.31399999995
279,2020Q2,Africa,Reunion,0.0
280,2020Q2,Africa,Rwanda,168733.201
281,2020Q2,Africa,Saint Helena,0.0
282,2020Q2,Africa,Sao Tome and Principe,277796.974
283,2020Q2,Africa,Senegal,224822.78
284,2020Q2,Africa,Seychelles,2400788.117
285,2020Q2,Africa,Sierra Leone,126517.3
286,2020Q2,Africa,Somalia,0.0
287,2020Q2,Africa,South Africa,1118833.716
288,2020Q2,Africa,South Sudan,142859.808
289,2020Q2,Africa,Sudan,406452.137
290,2020Q2,Africa,Tanzania,244180.66400000002
291,2020Q2,Africa,Togo,130112.98300000001
292,2020Q2,Africa,Tunisia,987286.027
293,2020Q2,Africa,Uganda,154491.337
294,2020Q2,Africa,Zambia,335721.841
295,2020Q2,Africa,Zimbabwe,172879.525
296,2020Q2,Asia,Afghanistan,164162.817
297,2020Q2,Asia,Armenia,799669.78
298,2020Q2,Asia,Azerbaijan,1442115.129
299,2020Q2,Asia,Bahrain,3939454.1550000003
300,2020Q2,Asia,Bangladesh,320682.544
301,2020Q2,Asia,Bhutan,792482.3269999999
302,2020Q2,Asia,Brunei,6534641.841
303,2020Q2,Asia,Cambodia,331701.37
304,2020Q2,Asia,China,1393092.792
305,2020Q2,Asia,Georgia,886802.189
306,2020Q2,Asia,Hong Kong,5100997.72
307,2020Q2,Asia,India,584827.334
308,2020Q2,Asia,Indonesia,1018175.704
309,2020Q2,Asia,Iran,1736518.42
310,2020Q2,Asia,Iraq,1425422.726
311,2020Q2,Asia,Israel,3015041.12
312,2020Q2,Asia,Japan,3549202.2929999996
313,2020Q2,Asia,Jordan,758711.59
314,2020Q2,Asia,Kazakhstan,2189058.508
315,2020Q2,Asia,Kuwait,5963278.867
316,2020Q2,Asia,Kyrgyzstan,308806.134
317,2020Q2,Asia,Laos,582159.76
318,2020Q2,Asia,Lebanon,1216448.415
319,2020Q2,Asia,Malaysia,2439542.924
320,2020Q2,Asia,Maldives,1381709.056
321,2020Q2,Asia,Mongolia,1077516.986
322,2020Q2,Asia,Myanmar,508835.327
323,2020Q2,Asia,Nepal,222295.16400000002
324,2020Q2,Asia,North Korea,0.0
325,2020Q2,Asia,Oman,3454424.5190000003
326,2020Q2,Asia,Pakistan,458158.42799999996
327,2020Q2,Asia,Palestine,404940.718
328,2020Q2,Asia,Philippines,691526.108
329,2020Q2,Asia,Qatar,10641139.6
330,2020Q2,Asia,Saudi Arabia,4463132.401
331,2020Q2,Asia,Singapore,7783719.853
332,2020Q2,Asia,South Korea,3270392.0340000005
333,2020Q2,Asia,Sri Lanka,1061886.007
334,2020Q2,Asia,Syria,0.0
335,2020Q2,Asia,Taiwan,0.0
336,2020Q2,Asia,Tajikistan,263619.083
337,2020Q2,Asia,Thailand,1481268.061
338,2020Q2,Asia,Timor,597879.282
339,2020Q2,Asia,Turkey,2286770.031
340,2020Q2,Asia,Turkmenistan,1491401.093
341,2020Q2,Asia,United Arab Emirates,6123706.953
342,2020Q2,Asia,Uzbekistan,569032.464
343,2020Q2,Asia,Vietnam,561641.444
344,2020Q2,Asia,Yemen,134602.377
345,2020Q2,Europe,Albania,1074112.2210000001
346,2020Q2,Europe,Andorra,0.0
347,2020Q2,Europe,Austria,4134738.426
348,2020Q2,Europe,Belarus,1562284.997
349,2020Q2,Europe,Belgium,3881930.416
350,2020Q2,Europe,Bosnia and Herzegovina,1065964.445
351,2020Q2,Europe,Bulgaria,1689260.9370000002
352,2020Q2,Europe,Croatia,2062951.5269999998
353,2020Q2,Europe,Cyprus,2949777.012
354,2020Q2,Europe,Czechia,2967137.446
355,2020Q2,Europe,Denmark,4248108.865
356,2020Q2,Europe,England,0.0
357,2020Q2,Europe,Estonia,2682793.932
358,2020Q2,Europe,Faeroe Islands,0.0
359,2020Q2,Europe,Finland,3693300.6109999996
360,2020Q2,Europe,France,3513116.061
361,2020Q2,Europe,Germany,4115861.2950000004
362,2020Q2,Europe,Gibraltar,0.0
363,2020Q2,Europe,Greece,2236268.762
364,2020Q2,Europe,Guernsey,0.0
365,2020Q2,Europe,Hungary,2436758.051
366,2020Q2,Europe,Iceland,4229949.178
367,2020Q2,Europe,Ireland,6127511.663000001
368,2020Q2,Europe,Isle of Man,0.0
369,2020Q2,Europe,Italy,3205027.6440000003
370,2020Q2,Europe,Jersey,0.0
371,2020Q2,Europe,Kosovo,891420.8940000001
372,2020Q2,Europe,Latvia,2280809.986
373,2020Q2,Europe,Liechtenstein,0.0
374,2020Q2,Europe,Lithuania,2686708.1149999998
375,2020Q2,Europe,Luxembourg,8579294.815
376,2020Q2,Europe,Malta,3322712.3929999997
377,2020Q2,Europe,Moldova,472287.452
378,2020Q2,Europe,Monaco,0.0
379,2020Q2,Europe,Montenegro,1493245.208
380,2020Q2,Europe,Netherlands,4411001.595
381,2020Q2,Europe,North Macedonia,1193120.474
382,2020Q2,Europe,Northern Ireland,0.0
383,2020Q2,Europe,Norway,5896805.187
384,2020Q2,Europe,Poland,2476696.495
385,2020Q2,Europe,Portugal,2542257.536
386,2020Q2,Europe,Romania,2121501.109
387,2020Q2,Europe,Russia,2253701.8140000002
388,2020Q2,Europe,San Marino,5174393.7700000005
389,2020Q2,Europe,Scotland,0.0
390,2020Q2,Europe,Serbia,1278448.1709999999
391,2020Q2,Europe,Slovakia,2744118.832
392,2020Q2,Europe,Slovenia,2857476.44
393,2020Q2,Europe,Spain,3118784.7600000002
394,2020Q2,Europe,Sweden,4272384.7530000005
395,2020Q2,Europe,Switzerland,5224325.106
396,2020Q2,Europe,Ukraine,718389.763
397,2020Q2,Europe,United Kingdom,3617545.204
398,2020Q2,Europe,Vatican,0.0
399,2020Q2,Europe,Wales,0.0
400,2020Q2,North America,Anguilla,0.0
401,2020Q2,North America,Antigua and Barbuda,1955675.8129999998
402,2020Q2,North America,Aruba,3273614.0710000005
403,2020Q2,North America,Bahamas,2522324.077
404,2020Q2,North America,Barbados,1545004.1879999998
405,2020Q2,North America,Belize,712016.942
406,2020Q2,North America,Bermuda,4610907.665
407,2020Q2,North America,Bonaire Sint Eustatius and Saba,0.0
408,2020Q2,North America,British Virgin Islands,0.0
409,2020Q2,North America,Canada,4005600.781
410,2020Q2,North America,Cayman Islands,4541175.639
411,2020Q2,North America,Costa Rica,1412774.5450000002
412,2020Q2,North America,Cuba,0.0
413,2020Q2,North America,Curacao,0.0
414,2020Q2,North America,Dominica,880276.397
415,2020Q2,North America,Dominican Republic,1328678.351
