,date,continent,location,stringency_index
394,2020Q2,Europe,Sweden,5797.81
395,2020Q2,Europe,Switzerland,5428.76
396,2020Q2,Europe,Ukraine,7287.6
397,2020Q2,Europe,United Kingdom,6815.86
398,2020Q2,Europe,Vatican,0.0
399,2020Q2,Europe,Wales,0.0
400,2020Q2,North America,Anguilla,0.0
401,2020Q2,North America,Antigua and Barbuda,0.0
402,2020Q2,North America,Aruba,6376.97
403,2020Q2,North America,Bahamas,8277.96
404,2020Q2,North America,Barbados,7275.93
405,2020Q2,North America,Belize,7003.83
406,2020Q2,North America,Bermuda,7133.650000000001
407,2020Q2,North America,Bonaire Sint Eustatius and Saba,0.0
408,2020Q2,North America,British Virgin Islands,0.0
409,2020Q2,North America,Canada,6607.01
410,2020Q2,North America,Cayman Islands,0.0
411,2020Q2,North America,Costa Rica,6715.21
412,2020Q2,North America,Cuba,8050.91
413,2020Q2,North America,Curacao,0.0
414,2020Q2,North America,Dominica,6746.21
415,2020Q2,North America,Dominican Republic,8374.18
416,2020Q2,North America,El Salvador,8597.21
417,2020Q2,North America,Greenland,5284.41
418,2020Q2,North America,Grenada,0.0
419,2020Q2,North America,Guadeloupe,0.0
420,2020Q2,North America,Guatemala,8716.039999999999
421,2020Q2,North America,Haiti,7855.46
422,2020Q2,North America,Honduras,9014.9
423,2020Q2,North America,Jamaica,7853.610000000001
424,2020Q2,North America,Martinique,0.0
425,2020Q2,North America,Mexico,7172.37
426,2020Q2,North America,Montserrat,0.0
427,2020Q2,North America,Nicaragua,1768.5
428,2020Q2,North America,Panama,8105.389999999999
429,2020Q2,North America,Puerto Rico,0.0
430,2020Q2,North America,Saint Barthelemy,0.0
431,2020Q2,North America,Saint Kitts and Nevis,0.0
432,2020Q2,North America,Saint Lucia,0.0
433,2020Q2,North America,Saint Martin (French part),0.0
434,2020Q2,North America,Saint Pierre and Miquelon,0.0
435,2020Q2,North America,Saint Vincent and the Grenadines,0.0
436,2020Q2,North America,Sint Maarten (Dutch part),0.0
437,2020Q2,North America,Trinidad and Tobago,7412.099999999999
438,2020Q2,North America,Turks and Caicos Islands,0.0
439,2020Q2,North America,United States,6555.43
440,2020Q2,North America,United States Virgin Islands,0.0
441,2020Q2,Oceania,American Samoa,0.0
442,2020Q2,Oceania,Australia,5871.64
443,2020Q2,Oceania,Cook Islands,0.0
444,2020Q2,Oceania,Fiji,6906.54
445,2020Q2,Oceania,French Polynesia,0.0
446,2020Q2,Oceania,Guam,0.0
447,2020Q2,Oceania,Kiribati,2351.67
448,2020Q2,Oceania,Marshall Islands,0.0
449,2020Q2,Oceania,Micronesia (country),0.0
450,2020Q2,Oceania,Nauru,0.0
451,2020Q2,Oceania,New Caledonia,0.0
452,2020Q2,Oceania,New Zealand,5415.7
453,2020Q2,Oceania,Niue,0.0
454,2020Q2,Oceania,Northern Mariana Islands,0.0
455,2020Q2,Oceania,Palau,0.0
456,2020Q2,Oceania,Papua New Guinea,5825.03
457,2020Q2,Oceania,Pitcairn,0.0
458,2020Q2,Oceania,Samoa,0.0
459,2020Q2,Oceania,Solomon Islands,3678.4
460,2020Q2,Oceania,Tokelau,0.0
461,2020Q2,Oceania,Tonga,5071.3
462,2020Q2,Oceania,Tuvalu,0.0
463,2020Q2,Oceania,Vanuatu,6577.9800000000005
464,2020Q2,Oceania,Wallis and Futuna,0.0
465,2020Q2,South America,Argentina,8425.95
466,2020Q2,South America,Bolivia,8533.539999999999
467,2020Q2,South America,Brazil,7066.13
468,2020Q2,South America,Chile,7161.81
469,2020Q2,South America,Colombia,7938.1
470,2020Q2,South America,Ecuador,7952.74
471,2020Q2,South America,Falkland Islands,0.0
472,2020Q2,South America,French Guiana,0.0
473,2020Q2,South America,Guyana,7716.85
474,2020Q2,South America,Paraguay,7990.47
475,2020Q2,South America,Peru,8415.43
476,2020Q2,South America,Suriname,7465.84
477,2020Q2,South America,Uruguay,5648.08
478,2020Q2,South America,Venezuela,7513.16
479,2020Q3,Africa,Algeria,7039.89
480,2020Q3,Africa,Angola,7133.96
481,2020Q3,Africa,Benin,3922.44
482,2020Q3,Africa,Botswana,5132.92
483,2020Q3,Africa,Burkina Faso,2307.65
484,2020Q3,Africa,Burundi,1197.1
485,2020Q3,Africa,Cameroon,5378.16
486,2020Q3,Africa,Cape Verde,6339.03
487,2020Q3,Africa,Central African Republic,4949.2
