,date,continent,location,total_cases_per_million
224,2020Q1,Oceania,Wallis and Futuna,0.0
225,2020Q1,South America,Argentina,277.40999999999997
226,2020Q1,South America,Bolivia,49.164
227,2020Q1,South America,Brazil,122.763
228,2020Q1,South America,Chile,768.425
229,2020Q1,South America,Colombia,97.17699999999999
230,2020Q1,South America,Ecuador,744.734
231,2020Q1,South America,Falkland Islands,0.0
232,2020Q1,South America,French Guiana,1227.972
233,2020Q1,South America,Guyana,101.39999999999999
234,2020Q1,South America,Paraguay,71.22800000000001
235,2020Q1,South America,Peru,190.779
236,2020Q1,South America,Suriname,105.17
237,2020Q1,South America,Uruguay,678.395
238,2020Q1,South America,Venezuela,40.702
239,2020Q2,Africa,Algeria,13484.619
240,2020Q2,Africa,Angola,188.762
241,2020Q2,Africa,Benin,1751.761
242,2020Q2,Africa,Botswana,1360.67
243,2020Q2,Africa,Burkina Faso,2911.521
244,2020Q2,Africa,Burundi,351.44800000000004
245,2020Q2,Africa,Cameroon,15601.481
246,2020Q2,Africa,Cape Verde,55637.407
247,2020Q2,Africa,Central African Republic,16615.977
248,2020Q2,Africa,Chad,2251.274
249,2020Q2,Africa,Comoros,5371.764
250,2020Q2,Africa,Congo,7100.832
251,2020Q2,Africa,Cote d'Ivoire,9016.435
252,2020Q2,Africa,Democratic Republic of Congo,2109.444
253,2020Q2,Africa,Djibouti,176740.707
254,2020Q2,Africa,Egypt,16457.546
255,2020Q2,Africa,Equatorial Guinea,66429.607
256,2020Q2,Africa,Eritrea,1393.842
257,2020Q2,Africa,Eswatini,18311.036
258,2020Q2,Africa,Ethiopia,941.109
259,2020Q2,Africa,Gabon,66623.777
260,2020Q2,Africa,Gambia,710.267
261,2020Q2,Africa,Ghana,16532.03
262,2020Q2,Africa,Guinea,16736.714
263,2020Q2,Africa,Guinea-Bissau,33963.561
264,2020Q2,Africa,Kenya,2767.83
265,2020Q2,Africa,Lesotho,129.675
266,2020Q2,Africa,Liberia,4718.924
267,2020Q2,Africa,Libya,2355.576
268,2020Q2,Africa,Madagascar,1823.941
269,2020Q2,Africa,Malawi,1065.791
270,2020Q2,Africa,Mali,3723.351
271,2020Q2,Africa,Mauritania,14128.788
272,2020Q2,Africa,Mauritius,22435.16
273,2020Q2,Africa,Mayotte,345524.4
274,2020Q2,Africa,Morocco,14621.719
275,2020Q2,Africa,Mozambique,680.962
276,2020Q2,Africa,Namibia,1051.807
277,2020Q2,Africa,Niger,2746.065
278,2020Q2,Africa,Nigeria,3185.391
279,2020Q2,Africa,Reunion,40942.977
280,2020Q2,Africa,Rwanda,2292.856
281,2020Q2,Africa,Saint Helena,0.0
282,2020Q2,Africa,Sao Tome and Principe,116723.033
283,2020Q2,Africa,Senegal,13524.021
284,2020Q2,Africa,Seychelles,12040.864
285,2020Q2,Africa,Sierra Leone,5799.741
286,2020Q2,Africa,Somalia,6860.804
287,2020Q2,Africa,South Africa,47701.583
288,2020Q2,Africa,South Sudan,5788.428
289,2020Q2,Africa,Sudan,6304.896
290,2020Q2,Africa,Tanzania,533.922
291,2020Q2,Africa,Togo,2977.269
292,2020Q2,Africa,Tunisia,7134.608
293,2020Q2,Africa,Uganda,563.434
294,2020Q2,Africa,Zambia,2974.317
295,2020Q2,Africa,Zimbabwe,871.908
296,2020Q2,Asia,Afghanistan,23356.496
297,2020Q2,Asia,Armenia,254964.984
298,2020Q2,Asia,Azerbaijan,41468.31
299,2020Q2,Asia,Bahrain,550956.128
300,2020Q2,Asia,Bangladesh,21253.150999999998
301,2020Q2,Asia,Bhutan,3394.44
302,2020Q2,Asia,Brunei,28198.1
303,2020Q2,Asia,Cambodia,670.456
304,2020Q2,Asia,China,5382.783
305,2020Q2,Asia,Georgia,15090.331
306,2020Q2,Asia,Hong Kong,0.0
307,2020Q2,Asia,India,9816.547
308,2020Q2,Asia,Indonesia,6980.004
309,2020Q2,Asia,Iran,130436.827
310,2020Q2,Asia,Iraq,18839.773
311,2020Q2,Asia,Israel,154560.91
312,2020Q2,Asia,Japan,10261.093
313,2020Q2,Asia,Jordan,4698.262
314,2020Q2,Asia,Kazakhstan,39248.899
315,2020Q2,Asia,Kuwait,364978.122
316,2020Q2,Asia,Kyrgyzstan,0.0
317,2020Q2,Asia,Laos,218.70700000000002
318,2020Q2,Asia,Lebanon,16650.868
319,2020Q2,Asia,Malaysia,17875.719
320,2020Q2,Asia,Maldives,185476.089
321,2020Q2,Asia,Mongolia,2906.396
322,2020Q2,Asia,Myanmar,296.426
323,2020Q2,Asia,Nepal,7353.024
324,2020Q2,Asia,North Korea,0.0
