,date,continent,location,total_deaths_per_million
300,2020Q2,Asia,Bangladesh,292.615
301,2020Q2,Asia,Bhutan,0.0
302,2020Q2,Asia,Brunei,309.553
303,2020Q2,Asia,Cambodia,0.0
304,2020Q2,Asia,China,280.899
305,2020Q2,Asia,Georgia,224.607
306,2020Q2,Asia,Hong Kong,0.0
307,2020Q2,Asia,India,298.208
308,2020Q2,Asia,Indonesia,422.452
309,2020Q2,Asia,Iran,7035.65
310,2020Q2,Asia,Iraq,666.64
311,2020Q2,Asia,Israel,2258.018
312,2020Q2,Asia,Japan,443.05
313,2020Q2,Asia,Jordan,65.893
314,2020Q2,Asia,Kazakhstan,219.558
315,2020Q2,Asia,Kuwait,2824.392
316,2020Q2,Asia,Kyrgyzstan,0.0
317,2020Q2,Asia,Laos,0.0
318,2020Q2,Asia,Lebanon,423.329
319,2020Q2,Asia,Malaysia,275.032
320,2020Q2,Asia,Maldives,652.927
321,2020Q2,Asia,Mongolia,0.0
322,2020Q2,Asia,Myanmar,8.757
323,2020Q2,Asia,Nepal,21.375
324,2020Q2,Asia,North Korea,0.0
325,2020Q2,Asia,Oman,891.771
326,2020Q2,Asia,Pakistan,475.97
327,2020Q2,Asia,Palestine,63.032
328,2020Q2,Asia,Philippines,574.073
329,2020Q2,Asia,Qatar,1130.179
330,2020Q2,Asia,Saudi Arabia,1153.625
331,2020Q2,Asia,Singapore,297.49
332,2020Q2,Asia,South Korea,442.571
333,2020Q2,Asia,Sri Lanka,36.285
334,2020Q2,Asia,Syria,16.725
335,2020Q2,Asia,Taiwan,0.0
336,2020Q2,Asia,Tajikistan,242.648
337,2020Q2,Asia,Thailand,64.854
338,2020Q2,Asia,Timor,0.0
339,2020Q2,Asia,Turkey,3685.066
340,2020Q2,Asia,Turkmenistan,0.0
341,2020Q2,Asia,United Arab Emirates,1700.959
342,2020Q2,Asia,Uzbekistan,0.0
343,2020Q2,Asia,Vietnam,0.0
344,2020Q2,Asia,Yemen,190.434
345,2020Q2,Europe,Albania,993.909
346,2020Q2,Europe,Andorra,49434.525
347,2020Q2,Europe,Austria,5676.305
348,2020Q2,Europe,Belarus,1603.364
349,2020Q2,Europe,Belgium,60352.147
350,2020Q2,Europe,Bosnia and Herzegovina,3048.682
351,2020Q2,Europe,Bulgaria,1359.497
352,2020Q2,Europe,Croatia,1736.064
353,2020Q2,Europe,Cyprus,1555.7949999999998
354,2020Q2,Europe,Czechia,2235.85
355,2020Q2,Europe,Denmark,7374.389
356,2020Q2,Europe,England,0.0
357,2020Q2,Europe,Estonia,8353.283
358,2020Q2,Europe,Faeroe Islands,0.0
359,2020Q2,Europe,Finland,4568.885
360,2020Q2,Europe,France,21066.796000000002
361,2020Q2,Europe,Germany,8680.062
362,2020Q2,Europe,Gibraltar,0.0
363,2020Q2,Europe,Greece,1280.602
364,2020Q2,Europe,Guernsey,20322.451
365,2020Q2,Europe,Hungary,3495.028
366,2020Q2,Europe,Iceland,2223.12
367,2020Q2,Europe,Ireland,23064.806
368,2020Q2,Europe,Isle of Man,27255.306
369,2020Q2,Europe,Italy,44451.737
370,2020Q2,Europe,Jersey,18240.72
371,2020Q2,Europe,Kosovo,924.749
372,2020Q2,Europe,Latvia,861.8620000000001
373,2020Q2,Europe,Liechtenstein,2210.67
374,2020Q2,Europe,Lithuania,1323.974
375,2020Q2,Europe,Luxembourg,10940.359999999999
376,2020Q2,Europe,Malta,930.066
377,2020Q2,Europe,Moldova,6189.138
378,2020Q2,Europe,Monaco,2219.724
379,2020Q2,Europe,Montenegro,176.993
380,2020Q2,Europe,Netherlands,26100.22
381,2020Q2,Europe,North Macedonia,4935.036
382,2020Q2,Europe,Northern Ireland,0.0
383,2020Q2,Europe,Norway,3288.368
384,2020Q2,Europe,Poland,1843.258
385,2020Q2,Europe,Portugal,9904.14
386,2020Q2,Europe,Romania,4372.088
387,2020Q2,Europe,Russia,2128.031
388,2020Q2,Europe,San Marino,107569.016
389,2020Q2,Europe,Scotland,0.0
390,2020Q2,Europe,Serbia,2534.363
391,2020Q2,Europe,Slovakia,342.14
392,2020Q2,Europe,Slovenia,4019.654
393,2020Q2,Europe,Spain,48372.931
394,2020Q2,Europe,Sweden,30193.427
395,2020Q2,Europe,Switzerland,15859.787
396,2020Q2,Europe,Ukraine,481.937
397,2020Q2,Europe,United Kingdom,54928.445999999996
398,2020Q2,Europe,Vatican,0.0
399,2020Q2,Europe,Wales,0.0
400,2020Q2,North America,Anguilla,0.0
401,2020Q2,North America,Antigua and Barbuda,2538.032
402,2020Q2,North America,Aruba,1916.247
403,2020Q2,North America,Bahamas,2170.793
404,2020Q2,North America,Barbados,1910.205
405,2020Q2,North America,Belize,407.135
406,2020Q2,North America,Bermuda,9734.155999999999
407,2020Q2,North America,Bonaire Sint Eustatius and Saba,0.0
408,2020Q2,North America,British Virgin Islands,2297.952
409,2020Q2,North America,Canada,11320.541
410,2020Q2,North America,Cayman Islands,1324.141
411,2020Q2,North America,Costa Rica,135.87199999999999
412,2020Q2,North America,Cuba,508.201
413,2020Q2,North America,Curacao,476.021
414,2020Q2,North America,Dominica,0.0
415,2020Q2,North America,Dominican Republic,3223.934
416,2020Q2,North America,El Salvador,538.793
417,2020Q2,North America,Greenland,0.0
418,2020Q2,North America,Grenada,0.0
419,2020Q2,North America,Guadeloupe,2764.287
420,2020Q2,North America,Guatemala,716.152
421,2020Q2,North America,Haiti,241.088
422,2020Q2,North America,Honduras,1410.164
423,2020Q2,North America,Jamaica,249.69899999999998
424,2020Q2,North America,Martinique,3023.031
425,2020Q2,North America,Mexico,10126.596
426,2020Q2,North America,Montserrat,14955.798
427,2020Q2,North America,Nicaragua,305.975
428,2020Q2,North America,Panama,5508.804
429,2020Q2,North America,Puerto Rico,3243.748
430,2020Q2,North America,Saint Barthelemy,0.0
431,2020Q2,North America,Saint Kitts and Nevis,0.0
432,2020Q2,North America,Saint Lucia,0.0
433,2020Q2,North America,Saint Martin (French part),7794.7970000000005
434,2020Q2,North America,Saint Pierre and Miquelon,0.0
